Days and Dates,Time,Paper Code,Paper
"Tuesday, 12 May, 2026",11:00 a.m. to 01:00 p.m.,ITCR1801,Blockchain and DLT
"Thursday, 14 May, 2026",11:00 a.m. to 01:00 p.m.,ITDLOCR18021,Department Level Optional Course- 5 :Big Data Analytics
"Thursday, 14 May, 2026",11:00 a.m. to 01:00 p.m.,ITDLOCR18022,Department Level Optional Course- 5:Reinforcement Learning
"Thursday, 14 May, 2026",11:00 a.m. to 01:00 p.m.,ITDLOCR18023,Department Level Optional Course- 5:Simulation and Modelling
"Thursday, 14 May, 2026",11:00 a.m. to 01:00 p.m.,ITDLOCR18024,Department Level Optional Course- 5:Knowledge Management
"Saturday, 16 May, 2026",11:00 a.m. to 01:00 p.m.,ITDLOCR18031,Department Level Optional Course- 6:User Interface Design
"Saturday, 16 May, 2026",11:00 a.m. to 01:00 p.m.,ITDLOCR18032,Department Level Optional Course- 6:Robotics
"Saturday, 16 May, 2026",11:00 a.m. to 01:00 p.m.,ITDLOCR18033,Department Level Optional Course- 6:Enterprise Resource Planning
"Saturday, 16 May, 2026",11:00 a.m. to 01:00 p.m.,ITDLOCR18034,Department Level Optional Course- 6:Cloud Computing and Services
"Tuesday, 19 May, 2026",11:00 a.m. to 01:00 p.m.,CMILOCR1804,Institute Level Optional Course-II:Project Management
"Tuesday, 19 May, 2026",11:00 a.m. to 01:00 p.m.,ITILOCR1804,Institute Level Optional Course-II: Finance Management
"Tuesday, 19 May, 2026",11:00 a.m. to 01:00 p.m.,ECILOCR1804,Institute Level Optional Course-II: Environmental Management
"Tuesday, 19 May, 2026",11:00 a.m. to 01:00 p.m.,CSILOCR1804,Institute Level Optional Course-II: IPR and Patenting
"Thursday, 21 May, 2026",11:00 a.m. to 01:00 p.m.,HNAMCR1801,Honours:Natural Language Processing and Generative AI
"Thursday, 21 May, 2026",11:00 a.m. to 01:00 p.m.,HNAVCR1801,Honours: Game Development with VR
"Thursday, 21 May, 2026",11:00 a.m. to 01:00 p.m.,HNBKCR1801,Honours: Blockchain Applications
"Thursday, 21 May, 2026",11:00 a.m. to 01:00 p.m.,HNCSCR1801,Honours: Penetration Testing (PENT)
"Thursday, 21 May, 2026",11:00 a.m. to 01:00 p.m.,HNDSCR1801,"Honours:Data Analytics for Text, Web and Social Media"
"Thursday, 21 May, 2026",11:00 a.m. to 01:00 p.m.,HNITCR1801,Honours: Industry 4.0 And Industrial Internet Of Things
